Player,Nation,Pos,Squad,Comp,Age,Born,GCA,GCA90,Won,Lost,npxG+xAG,Att,Succ,SoT,FK,Sh,Gls,Ast,PrgC,PrgP,PrgR,G+A,SCA,SCA90,90s,TklW,Blocks,Int,Clr,Prgc,G+A,Tkl%,Crs,Att,Succ,Won
Georges Mikautadze,ge GEO,FW,Lyon,fr Ligue 1,24-089,2000,3,0.37,9,24,4.5,35,8,11,0,27,4,1,,,,,,,,,,,,,,,,,,
Gerard Moreno,es ESP,FW,Villarreal,es La Liga,32-296,1992,4,0.67,12,3,4.1,18,9,9,0,22,3,3,,,,,,,,,,,,,,,,,,
Gift Orban,ng NGA,FW,Hoffenheim,de Bundesliga,22-195,2002,0,0,1,3,1.1,2,2,1,0,5,1,3,,,,,,,,,,,,,,,,,,
Giovanni Simeone,ar ARG,FW,Napoli,it Serie A,29-207,1995,2,0.6,5,25,2.1,8,3,2,0,11,1,0,,,,,,,,,,,,,,,,,,
Goduine Koyalipou,cf CTA,FW,Lens,fr Ligue 1,24-348,2000,0,0,2,5,1.1,9,3,4,0,11,1,0,,,,,,,,,,,,,,,,,,
Gonçalo Ramos,pt POR,FW,Paris S-G,fr Ligue 1,23-222,2001,2,0.51,11,3,4.7,3,0,12,0,18,2,1,,,,,,,,,,,,,,,,,,
Gorka Guruzeta,es ESP,FW,Athletic Club,es La Liga,28-138,1996,1,0.08,21,46,3.9,11,6,13,0,32,5,0,,,,,,,,,,,,,,,,,,
Grant Ranos,am ARM,FW,Gladbach,de Bundesliga,21-192,2003,0,0,0,1,0,0,0,0,0,0,0,7,,,,,,,,,,,,,,,,,,
Gustav Isaksen,dk DEN,FW,Lazio,it Serie A,23-284,2001,5,0.37,9,17,3,46,21,12,0,30,2,2,,,,,,,,,,,,,,,,,,
Harry Kane,eng ENG,FW,Bayern Munich,de Bundesliga,31-184,1993,16,1.05,17,14,11,37,18,24,3,58,17,2,,,,,,,,,,,,,,,,,,
Harvey Barnes,eng ENG,FW,Newcastle Utd,eng Premier League,27-050,1997,4,0.46,3,8,5.4,28,12,10,0,28,5,1,,,,,,,,,,,,,,,,,,
Henrik Meister,dk DEN,FW,Rennes,fr Ligue 1,21-072,2003,1,1.43,2,3,0.3,0,0,1,0,2,1,1,,,,,,,,,,,,,,,,,,
Hiroki Sekine,jp JPN,FW,Reims,fr Ligue 1,22-170,2002,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
Hugo Duro,es ESP,FW,Valencia,es La Liga,25-079,1999,3,0.18,44,69,6.4,17,6,11,1,30,7,0,,,,,,,,,,,,,,,,,,
Hugo Ekitike,fr FRA,FW,Eint Frankfurt,de Bundesliga,22-222,2002,7,0.48,25,35,14.4,66,32,24,0,59,11,0,,,,,,,,,,,,,,,,,,
Ibrahim Salah,ma MAR,FW,Brest,fr Ligue 1,23-151,2001,2,0.54,1,2,1.1,25,9,3,0,12,1,1,,,,,,,,,,,,,,,,,,
Ibrahim Sissoko,ml MLI,FW,Saint-Étienne,fr Ligue 1,29-062,1995,1,0.11,24,42,4.1,11,3,4,0,21,3,0,,,,,,,,,,,,,,,,,,
Ibrahima Niane,sn SEN,FW,Angers,fr Ligue 1,25-323,1999,2,0.26,15,23,4.3,12,3,10,0,22,3,10,,,,,,,,,,,,,,,,,,
Igor Matanovic,hr CRO,FW,Eint Frankfurt,de Bundesliga,21-303,2003,1,0.3,10,15,1.2,5,3,4,0,12,1,1,,,,,,,,,,,,,,,,,,
Iliman Ndiaye,sn SEN,FW,Everton,eng Premier League,24-328,2000,4,0.2,4,12,3.8,119,54,9,0,22,5,0,,,,,,,,,,,,,,,,,,
Iñaki Williams,gh GHA,FW,Athletic Club,es La Liga,30-227,1994,9,0.49,19,15,9.4,66,29,11,1,38,1,4,,,,,,,,,,,,,,,,,,
Isaac Romero,es ESP,FW,Sevilla,es La Liga,24-255,2000,4,0.27,19,33,5.2,40,12,11,0,35,2,0,,,,,,,,,,,,,,,,,,
Israel Domínguez,es ESP,FW,Sevilla,es La Liga,21-266,2003,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,
Ivan Prtajin,hr CRO,FW,Union Berlin,de Bundesliga,28-259,1996,0,0,2,2,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,
Jack Harrison,eng ENG,FW,Everton,eng Premier League,28-069,1996,2,0.18,3,11,4.2,38,11,3,0,15,0,0,,,,,,,,,,,,,,,,,,
Jacob Murphy,eng ENG,FW,Newcastle Utd,eng Premier League,29-339,1995,9,0.65,2,9,8.7,30,12,9,0,27,3,2,,,,,,,,,,,,,,,,,,
