Player,Nation,Pos,Squad,Comp,Age,Born,GCA,GCA90,Won,Lost,npxG+xAG,Att,Succ,SoT,FK,Sh,Gls,Ast,PrgC,PrgP,PrgR,G+A,SCA,SCA90,90s,TklW,Blocks,Int,Clr,Prgc,G+A,Tkl%,Crs,Att,Succ,Won
Igor,br BRA,DF,Brighton,eng Premier League,,1998,,,,,,,,,,,,,,,,,,,10,4,23,4,39,0,0,40,2,4,3,8
Igor Zubeldia,es ESP,DF,Real Sociedad,es La Liga,,1997,,,,,,,,,,,,,,,,,,,17.4,17,23,23,64,5,1,60,1,1,1,51
Iker Córdoba,es ESP,DF,Valencia,es La Liga,,2005,,,,,,,,,,,,,,,,,,,0.2,0,0,0,1,39,1,,1,0,0,1
Illia Zabarnyi,ua UKR,DF,Bournemouth,eng Premier League,,2002,,,,,,,,,,,,,,,,,,,23,24,27,23,117,8,1,70.6,4,7,4,53
Iñigo Lekue,es ESP,DF,Athletic Club,es La Liga,,1993,,,,,,,,,,,,,,,,,,,4.1,4,2,3,14,6,1,50,9,3,1,2
Iñigo Martínez,es ESP,DF,Barcelona,es La Liga,,1991,,,,,,,,,,,,,,,,,,,17.8,9,11,14,62,0,0,90.9,1,0,0,39
Isak Hien,se SWE,DF,Atalanta,it Serie A,,1999,,,,,,,,,,,,,,,,,,,13.9,20,16,16,43,65,8,66.7,1,7,4,40
Ismail Jakobs,sn SEN,DF,Monaco,fr Ligue 1,,1999,,,,,,,,,,,,,,,,,,,2,5,0,2,6,1,0,60,14,0,0,1
Ismaily,br BRA,DF,Lille,fr Ligue 1,,1990,,,,,,,,,,,,,,,,,,,2.8,6,8,4,14,10,2,50,7,9,5,2
Issa Diop,fr FRA,DF,Fulham,eng Premier League,,1997,,,,,,,,,,,,,,,,,,,11.9,10,9,5,51,3,1,71.4,1,1,1,17
Issiaga Sylla,gn GUI,DF,Montpellier,fr Ligue 1,,1994,,,,,,,,,,,,,,,,,,,10.1,7,12,9,29,4,0,50,23,11,7,18
Iván Balliu,al ALB,DF,Rayo Vallecano,es La Liga,,1992,,,,,,,,,,,,,,,,,,,8.2,8,8,7,21,1,2,27.3,11,4,2,8
Ivan Ordets,ua UKR,DF,Bochum,de Bundesliga,,1992,,,,,,,,,,,,,,,,,,,10.7,4,14,25,64,0,0,75,0,1,1,44
Jack Stephens,eng ENG,DF,Southampton,eng Premier League,,1994,,,,,,,,,,,,,,,,,,,8.8,10,8,5,32,0,0,37.5,0,3,0,4
Jacob Greaves,eng ENG,DF,Ipswich Town,eng Premier League,,2000,,,,,,,,,,,,,,,,,,,13,9,18,16,81,2,3,60,0,2,1,41
Jacques Ekomie,ga GAB,DF,Angers,fr Ligue 1,,2003,,,,,,,,,,,,,,,,,,,3.5,7,7,3,8,0,0,57.1,13,13,3,5
Jahmai Simpson-Pusey,eng ENG,DF,Manchester City,eng Premier League,,2005,,,,,,,,,,,,,,,,,,,1.1,0,1,0,2,13,1,0,0,1,0,1
Jaka Bijol,si SVN,DF,Udinese,it Serie A,,1999,,,,,,,,,,,,,,,,,,,20,15,21,24,96,1,1,53.6,2,0,0,62
Jake O'Brien,ie IRL,DF,Everton,eng Premier League,,2001,,,,,,,,,,,,,,,,,,,2.5,6,3,1,20,0,0,80,1,5,1,3
Jakov Medić,hr CRO,DF,Bochum,de Bundesliga,,1998,,,,,,,,,,,,,,,,,,,11.9,7,26,13,66,10,0,40,0,0,0,20
Jakub Kiwior,pl POL,DF,Arsenal,eng Premier League,,2000,,,,,,,,,,,,,,,,,,,3.6,2,5,1,16,13,0,60,0,2,1,5
James Bree,eng ENG,DF,Southampton,eng Premier League,,1997,,,,,,,,,,,,,,,,,,,6.4,8,7,6,18,3,0,50,17,6,3,11
James Justin,eng ENG,DF,Leicester City,eng Premier League,,1998,,,,,,,,,,,,,,,,,,,21.1,24,30,31,94,21,3,53.8,34,24,7,40
James Tarkowski,eng ENG,DF,Everton,eng Premier League,,1992,,,,,,,,,,,,,,,,,,,21.9,30,41,25,136,9,0,62.5,0,7,5,71
Jan Bednarek,pl POL,DF,Southampton,eng Premier League,,1996,,,,,,,,,,,,,,,,,,,18.8,12,33,37,110,0,0,42.1,0,3,3,44
Jan Paul van Hecke,nl NED,DF,Brighton,eng Premier League,,2000,,,,,,,,,,,,,,,,,,,19.9,19,26,17,77,26,1,55.6,10,8,3,48
Jannik Vestergaard,dk DEN,DF,Leicester City,eng Premier League,,1992,,,,,,,,,,,,,,,,,,,13.3,9,17,15,66,4,1,53.8,0,4,4,24
Jarell Quansah,eng ENG,DF,Liverpool,eng Premier League,,2003,,,,,,,,,,,,,,,,,,,2.5,7,3,3,10,5,0,80,2,2,1,5
Jarrad Branthwaite,eng ENG,DF,Everton,eng Premier League,,2002,,,,,,,,,,,,,,,,,,,13.1,11,14,16,71,6,0,76.9,1,4,2,17
Jarzinho Malanga,de GER,DF,Stuttgart,de Bundesliga,,2006,,,,,,,,,,,,,,,,,,,0,0,0,0,0,3,0,,0,0,0,0
Javi Galán,es ESP,DF,Atlético Madrid,es La Liga,,1994,,,,,,,,,,,,,,,,,,,9.4,15,10,5,12,23,2,46.2,26,44,16,12
Javi Hernández,es ESP,DF,Leganés,es La Liga,,1998,,,,,,,,,,,,,,,,,,,13.5,12,16,17,58,28,0,39.3,27,15,9,12
Javi López,es ESP,DF,Real Sociedad,es La Liga,,2002,,,,,,,,,,,,,,,,,,,10.7,11,9,3,31,11,0,52.6,22,20,8,5
Javi Rodríguez,es ESP,DF,Celta Vigo,es La Liga,,2003,,,,,,,,,,,,,,,,,,,14,22,14,20,47,19,3,69.2,2,6,2,23
Javi Sánchez,es ESP,DF,Valladolid,es La Liga,,1997,,,,,,,,,,,,,,,,,,,13.8,10,25,12,67,2,0,63.2,0,0,0,24
Javier Manquillo,es ESP,DF,Celta Vigo,es La Liga,,1994,,,,,,,,,,,,,,,,,,,5.7,5,5,7,14,2,0,20,3,1,0,5
Jay Idzes,id IDN,DF,Venezia,it Serie A,,2000,,,,,,,,,,,,,,,,,,,19.7,19,30,15,81,29,2,55.6,6,6,1,37
Jayden Meghoma,eng ENG,DF,Brentford,eng Premier League,,2006,,,,,,,,,,,,,,,,,,,0.1,0,0,0,0,11,0,,0,0,0,0
Jean-Charles Castelletto,cm CMR,DF,Nantes,fr Ligue 1,,1995,,,,,,,,,,,,,,,,,,,16.8,9,16,17,91,5,0,68.8,5,0,0,30
Jean-Clair Todibo,fr FRA,DF,West Ham,eng Premier League,,1999,,,,,,,,,,,,,,,,,,,9.6,15,15,11,47,4,0,82.4,1,10,6,15
Jean-Kevin Duverne,ht HAI,DF,Nantes,fr Ligue 1,,1997,,,,,,,,,,,,,,,,,,,6,12,10,8,23,37,3,55.6,9,5,2,9
Jeffrey Gouweleeuw,nl NED,DF,Augsburg,de Bundesliga,,1991,,,,,,,,,,,,,,,,,,,17.7,15,22,17,90,5,1,63.6,13,9,5,37
Jérôme Roussillon,fr FRA,DF,Union Berlin,de Bundesliga,,1993,,,,,,,,,,,,,,,,,,,0.9,0,0,1,5,0,0,0,5,2,0,2
Jesús Areso,es ESP,DF,Osasuna,es La Liga,,1999,,,,,,,,,,,,,,,,,,,19,20,20,6,55,0,0,63.9,96,33,15,11
Jesús Vallejo,es ESP,DF,Real Madrid,es La Liga,,1997,,,,,,,,,,,,,,,,,,,0.1,0,0,0,2,10,0,,0,0,0,0
Jesus Vazquez,es ESP,DF,Valencia,es La Liga,,2003,,,,,,,,,,,,,,,,,,,7.6,13,14,5,22,36,1,41.7,20,26,10,8
Jhon Lucumí,co COL,DF,Bologna,it Serie A,,1998,,,,,,,,,,,,,,,,,,,15.4,13,21,8,47,18,1,58.8,2,4,2,21
Joachim Andersen,dk DEN,DF,Crystal Palace,eng Premier League,,1996,,,,,,,,,,,,,,,,,,,1,1,0,0,7,2,0,50,1,0,0,2
Joachim Andersen,dk DEN,DF,Fulham,eng Premier League,,1996,,,,,,,,,,,,,,,,,,,13.7,10,12,17,67,20,1,50,3,3,3,32
Joakim Mæhle,dk DEN,DF,Wolfsburg,de Bundesliga,,1997,,,,,,,,,,,,,,,,,,,11.3,5,14,13,22,2,1,25,9,29,11,7
Joe Gomez,eng ENG,DF,Liverpool,eng Premier League,,1997,,,,,,,,,,,,,,,,,,,5.8,10,9,7,20,1,0,68.8,2,0,0,9
Joe Scally,us USA,DF,Gladbach,de Bundesliga,,2002,,,,,,,,,,,,,,,,,,,16.7,23,26,12,44,12,1,61.3,26,42,23,9
Joël Schingtienne,be BEL,DF,Venezia,it Serie A,,2002,,,,,,,,,,,,,,,,,,,1,4,2,2,2,1,0,100,0,0,0,0
Joël Veltman,nl NED,DF,Brighton,eng Premier League,,1992,,,,,,,,,,,,,,,,,,,16.3,27,21,16,58,3,0,57.4,22,15,4,20
Johan Mojica,co COL,DF,Mallorca,es La Liga,,1992,,,,,,,,,,,,,,,,,,,17.5,14,5,18,46,9,0,54.5,76,50,20,5
Johan Vásquez,mx MEX,DF,Genoa,it Serie A,,1998,,,,,,,,,,,,,,,,,,,19.5,12,36,27,81,0,0,36.8,5,5,4,48
John Tolkin,us USA,DF,Holstein Kiel,de Bundesliga,,2002,,,,,,,,,,,,,,,,,,,0.1,0,1,0,0,0,0,100,0,0,0,0
Jon Aramburu,ve VEN,DF,Real Sociedad,es La Liga,,2002,,,,,,,,,,,,,,,,,,,15.3,43,23,20,57,2,0,65.6,28,23,5,25
Jon Martin,es ESP,DF,Real Sociedad,es La Liga,,2006,,,,,,,,,,,,,,,,,,,1.5,1,2,5,6,1,0,100,0,0,0,8
Jon Pacheco,es ESP,DF,Real Sociedad,es La Liga,,2001,,,,,,,,,,,,,,,,,,,7,6,7,6,36,2,0,75,0,0,0,16
Jonas Föhrenbach,de GER,DF,Heidenheim,de Bundesliga,,1996,,,,,,,,,,,,,,,,,,,16.1,18,24,13,46,19,1,66.7,44,16,6,13
Jonas Rouhi,se SWE,DF,Juventus,it Serie A,,2004,,,,,,,,,,,,,,,,,,,2.1,1,1,3,2,4,2,0,3,4,2,0
Jonathan Gradit,fr FRA,DF,Lens,fr Ligue 1,,1992,,,,,,,,,,,,,,,,,,,10.5,12,11,13,41,2,1,56.5,6,5,2,37
Jonathan Tah,de GER,DF,Leverkusen,de Bundesliga,,1996,,,,,,,,,,,,,,,,,,,18,7,15,17,75,6,0,71.4,6,1,1,38
Jonny Evans,nir NIR,DF,Manchester Utd,eng Premier League,,1988,,,,,,,,,,,,,,,,,,,3.2,5,2,4,13,46,5,50,0,1,1,8
Jordan Amavi,fr FRA,DF,Brest,fr Ligue 1,,1994,,,,,,,,,,,,,,,,,,,8.8,17,10,7,18,8,1,71.4,15,13,7,15
Jordan Lefort,fr FRA,DF,Angers,fr Ligue 1,,1993,,,,,,,,,,,,,,,,,,,19,20,28,21,101,39,1,61.3,9,10,4,25
Jordan Teze,nl NED,DF,Monaco,fr Ligue 1,,1999,,,,,,,,,,,,,,,,,,,4.2,7,11,3,8,0,0,36.4,4,9,4,6
Jordan Zemura,zw ZIM,DF,Udinese,it Serie A,,1999,,,,,,,,,,,,,,,,,,,12.5,13,14,15,35,14,0,57.1,29,41,19,3
Jordy Makengo,fr FRA,DF,Freiburg,de Bundesliga,,2001,,,,,,,,,,,,,,,,,,,2.2,5,2,3,8,9,2,85.7,7,5,0,0
Jorge Cuenca,es ESP,DF,Fulham,eng Premier League,,1999,,,,,,,,,,,,,,,,,,,1,1,0,1,13,25,1,25,0,0,0,3
Jorge Herrando,es ESP,DF,Osasuna,es La Liga,,2001,,,,,,,,,,,,,,,,,,,6.2,3,8,1,28,24,2,50,0,0,0,15
Jorge Sáenz,es ESP,DF,Leganés,es La Liga,,1996,,,,,,,,,,,,,,,,,,,7.9,13,10,12,66,44,3,55.6,0,2,0,19
José Luis Gayà,es ESP,DF,Valencia,es La Liga,,1995,,,,,,,,,,,,,,,,,,,6,12,3,10,18,2,0,66.7,25,6,2,3
José Luis Palomino,ar ARG,DF,Cagliari,it Serie A,,1990,,,,,,,,,,,,,,,,,,,4.3,5,6,7,14,8,2,66.7,0,1,0,4
José María Giménez,uy URU,DF,Atlético Madrid,es La Liga,,1995,,,,,,,,,,,,,,,,,,,13.9,12,18,16,64,1,0,63.2,0,1,1,23
Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,,1995,,,,,,,,,,,,,,,,,,,0,0,0,0,0,4,1,,0,0,0,0
Joseph Okumu,ke KEN,DF,Reims,fr Ligue 1,,1997,,,,,,,,,,,,,,,,,,,8.2,11,15,12,40,14,0,62.5,4,7,5,15
Joshua Acheampong,eng ENG,DF,Chelsea,eng Premier League,,2006,,,,,,,,,,,,,,,,,,,1.8,1,1,1,2,11,0,100,0,2,1,1
Josip Juranović,hr CRO,DF,Union Berlin,de Bundesliga,,1995,,,,,,,,,,,,,,,,,,,2.4,3,2,0,7,2,0,80,14,2,2,0
Josip Stanišić,hr CRO,DF,Bayern Munich,de Bundesliga,,2000,,,,,,,,,,,,,,,,,,,0.6,2,1,0,2,0,0,100,1,1,1,0
Joško Gvardiol,hr CRO,DF,Manchester City,eng Premier League,,2002,,,,,,,,,,,,,,,,,,,21.5,22,27,24,59,0,0,56,17,29,18,32
Juan Berrocal,es ESP,DF,Getafe,es La Liga,,1999,,,,,,,,,,,,,,,,,,,6.8,4,1,9,34,21,0,72.7,0,0,0,22
Juan Cruz Armada,es ESP,DF,Osasuna,es La Liga,,1992,,,,,,,,,,,,,,,,,,,8.8,6,8,4,29,44,1,50,7,4,1,5
Juan David Cabal,co COL,DF,Juventus,it Serie A,,2001,,,,,,,,,,,,,,,,,,,5.1,4,2,2,14,1,0,66.7,7,7,4,8
Juan Foyth,ar ARG,DF,Villarreal,es La Liga,,1998,,,,,,,,,,,,,,,,,,,2,1,4,3,18,0,0,50,0,1,0,6
Juan Herzog,es ESP,DF,Las Palmas,es La Liga,,2003,,,,,,,,,,,,,,,,,,,6.2,7,6,8,30,3,0,71.4,0,1,0,14
Juan Jesus,br BRA,DF,Napoli,it Serie A,,1991,,,,,,,,,,,,,,,,,,,6.9,7,6,4,18,11,0,80,0,0,0,14
Juan Miranda,es ESP,DF,Bologna,it Serie A,,2000,,,,,,,,,,,,,,,,,,,13.3,11,12,15,23,9,0,42.9,106,10,4,20
Juanpe,es ESP,DF,Girona,es La Liga,,1991,,,,,,,,,,,,,,,,,,,4.6,4,8,5,29,10,1,85.7,1,0,0,15
Jubal,br BRA,DF,Auxerre,fr Ligue 1,,1993,,,,,,,,,,,,,,,,,,,15.4,23,37,11,91,7,0,60,0,1,1,37
Jules Koundé,fr FRA,DF,Barcelona,es La Liga,,1998,,,,,,,,,,,,,,,,,,,18.7,31,24,13,43,15,0,74.5,44,38,15,19
Julian Araujo,mx MEX,DF,Bournemouth,eng Premier League,,2001,,,,,,,,,,,,,,,,,,,3.9,3,3,4,13,5,2,40,4,0,0,2
Julian Chabot,de GER,DF,Stuttgart,de Bundesliga,,1998,,,,,,,,,,,,,,,,,,,14.3,15,15,25,74,20,1,42.9,1,3,2,48
Julián Malatini,ar ARG,DF,Werder Bremen,de Bundesliga,,2001,,,,,,,,,,,,,,,,,,,5,9,7,7,16,1,0,40,3,3,2,10
Julian Ryerson,no NOR,DF,Dortmund,de Bundesliga,,1997,,,,,,,,,,,,,,,,,,,14,15,21,13,17,1,0,64.3,41,27,15,5
Julien Le Cardinal,fr FRA,DF,Brest,fr Ligue 1,,1997,,,,,,,,,,,,,,,,,,,8.8,9,11,24,39,12,2,60,2,3,1,15
Jurriën Timber,nl NED,DF,Arsenal,eng Premier League,,2001,,,,,,,,,,,,,,,,,,,18.5,22,14,13,30,27,1,57.9,19,38,17,11
Kaelan Casey,eng ENG,DF,West Ham,eng Premier League,,2004,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,0,,0,0,0,1
Karol Mets,ee EST,DF,St. Pauli,de Bundesliga,,1993,,,,,,,,,,,,,,,,,,,10,8,9,12,60,24,3,57.1,3,1,0,24
Kembo Diliwidi,fr FRA,DF,Lens,fr Ligue 1,,2006,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,1,1,0,0
Kenny Lala,mg MAD,DF,Brest,fr Ligue 1,,1991,,,,,,,,,,,,,,,,,,,15.8,25,18,17,35,18,0,63.2,61,14,9,2
Kenny Tete,nl NED,DF,Fulham,eng Premier League,,1995,,,,,,,,,,,,,,,,,,,14,27,19,28,36,2,0,60.7,19,16,7,15
Keven Schlotterbeck,de GER,DF,Augsburg,de Bundesliga,,1997,,,,,,,,,,,,,,,,,,,11.7,11,11,11,57,3,0,63.6,1,2,2,31
Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,,1995,,,,,,,,,,,,,,,,,,,14.8,13,47,19,68,10,0,61.5,6,11,6,26
Kevin Bonifazi,it ITA,DF,Lecce,it Serie A,,1996,,,,,,,,,,,,,,,,,,,0.7,1,1,2,3,15,3,100,0,2,1,1
Kevin Danso,at AUT,DF,Lens,fr Ligue 1,,1998,,,,,,,,,,,,,,,,,,,12,7,25,20,62,4,4,75,0,6,1,41
Kévin Pedro,fr FRA,DF,Saint-Étienne,fr Ligue 1,,2006,,,,,,,,,,,,,,,,,,,0.1,0,1,2,1,2,0,100,1,1,1,0
Kevin Vogt,de GER,DF,Union Berlin,de Bundesliga,,1991,,,,,,,,,,,,,,,,,,,13.3,6,15,9,64,11,0,63.6,0,2,2,13
Kialonda,ao ANG,DF,Lecce,it Serie A,,1997,,,,,,,,,,,,,,,,,,,15,7,30,17,73,35,1,83.3,2,7,6,55
Kieran Trippier,eng ENG,DF,Newcastle Utd,eng Premier League,,1990,,,,,,,,,,,,,,,,,,,5.7,8,3,6,14,52,3,41.2,34,2,1,10
Ki-Jana Hoever,nl NED,DF,Auxerre,fr Ligue 1,,2002,,,,,,,,,,,,,,,,,,,12.5,19,19,12,36,0,0,53.6,41,18,4,15
Kike Salas,es ESP,DF,Sevilla,es La Liga,,2002,,,,,,,,,,,,,,,,,,,10.2,11,14,17,41,2,1,52.6,4,3,1,36
Kiko Femenía,es ESP,DF,Villarreal,es La Liga,,1991,,,,,,,,,,,,,,,,,,,18.2,24,15,28,37,17,2,56.1,38,21,16,4
Kilian Fischer,de GER,DF,Wolfsburg,de Bundesliga,,2000,,,,,,,,,,,,,,,,,,,15.2,25,24,14,59,30,1,49.1,17,14,7,14
Kim Jisoo,kr KOR,DF,Brentford,eng Premier League,,2004,,,,,,,,,,,,,,,,,,,0.3,0,0,0,2,38,3,,0,0,0,0
Kim Min-jae,kr KOR,DF,Bayern Munich,de Bundesliga,,1996,,,,,,,,,,,,,,,,,,,17.3,14,16,26,47,44,3,42.9,0,4,2,56
Kingsley Ehizibue,nl NED,DF,Udinese,it Serie A,,1995,,,,,,,,,,,,,,,,,,,17.8,26,23,15,42,56,5,65.6,42,20,7,19
Ko Itakura,jp JPN,DF,Gladbach,de Bundesliga,,1997,,,,,,,,,,,,,,,,,,,18,16,22,16,91,23,0,56.5,5,13,7,33
Koni De Winter,be BEL,DF,Genoa,it Serie A,,2002,,,,,,,,,,,,,,,,,,,11.1,12,2,11,49,8,0,69.2,1,2,1,35
Konrad Laimer,at AUT,DF,Bayern Munich,de Bundesliga,,1997,,,,,,,,,,,,,,,,,,,7.4,11,9,1,8,3,0,33.3,11,10,3,2
Konstantinos Koulierakis,gr GRE,DF,Wolfsburg,de Bundesliga,,2003,,,,,,,,,,,,,,,,,,,15.1,12,24,16,83,4,0,63.6,9,7,4,32
Konstantinos Mavropanos,gr GRE,DF,West Ham,eng Premier League,,1997,,,,,,,,,,,,,,,,,,,15.4,20,19,32,74,30,1,50,2,13,7,40
Kosta Nedeljković,rs SRB,DF,Aston Villa,eng Premier League,,2005,,,,,,,,,,,,,,,,,,,1.3,5,1,0,3,2,0,66.7,1,2,1,0
Kostas Tsimikas,gr GRE,DF,Liverpool,eng Premier League,,1996,,,,,,,,,,,,,,,,,,,3.8,7,4,4,12,0,0,66.7,28,2,2,4
Krépin Diatta,sn SEN,DF,Monaco,fr Ligue 1,,1999,,,,,,,,,,,,,,,,,,,2.4,7,4,4,8,6,1,53.8,4,3,3,9
Kristoffer Ajer,no NOR,DF,Brentford,eng Premier League,,1998,,,,,,,,,,,,,,,,,,,8,7,8,6,23,6,0,33.3,6,9,4,13
Kyle Walker,eng ENG,DF,Manchester City,eng Premier League,,1990,,,,,,,,,,,,,,,,,,,10.8,10,13,3,13,2,0,53.8,14,6,3,9
Kyle Walker-Peters,eng ENG,DF,Southampton,eng Premier League,,1997,,,,,,,,,,,,,,,,,,,20.8,18,20,12,55,8,0,45.8,37,59,22,8
Ladislav Krejčí,cz CZE,DF,Girona,es La Liga,,1999,,,,,,,,,,,,,,,,,,,11.1,6,11,15,36,3,1,41.7,6,3,0,18
Lasse Rosenboom,de GER,DF,Holstein Kiel,de Bundesliga,,2002,,,,,,,,,,,,,,,,,,,7.8,13,11,9,29,7,1,65,5,4,1,11
Lautaro Gianetti,ar ARG,DF,Udinese,it Serie A,,1993,,,,,,,,,,,,,,,,,,,9.3,10,19,15,44,6,0,70,0,2,0,26
Lautaro Valenti,ar ARG,DF,Parma,it Serie A,,1999,,,,,,,,,,,,,,,,,,,5.6,7,9,3,37,1,0,100,0,0,0,9
Leandro Cabrera,uy URU,DF,Espanyol,es La Liga,,1991,,,,,,,,,,,,,,,,,,,16,14,18,15,90,12,3,58.8,11,1,1,41
Leif Davis,eng ENG,DF,Ipswich Town,eng Premier League,,2000,,,,,,,,,,,,,,,,,,,22.5,22,20,18,60,7,0,61.9,108,34,11,24
Leny Yoro,fr FRA,DF,Manchester Utd,eng Premier League,,2005,,,,,,,,,,,,,,,,,,,5.1,3,1,12,15,0,0,45.5,0,0,0,6
Léo Pétrot,fr FRA,DF,Saint-Étienne,fr Ligue 1,,1997,,,,,,,,,,,,,,,,,,,14.5,27,24,22,51,11,1,86.2,20,6,5,16
Leo Skiri Østigård,no NOR,DF,Rennes,fr Ligue 1,,1999,,,,,,,,,,,,,,,,,,,13.6,18,12,15,81,11,0,68.2,0,2,1,47
Leonardo Balerdi,ar ARG,DF,Marseille,fr Ligue 1,,1999,,,,,,,,,,,,,,,,,,,15,22,19,23,41,0,1,58.3,0,11,9,15
Leonidas Stergiou,ch SUI,DF,Stuttgart,de Bundesliga,,2002,,,,,,,,,,,,,,,,,,,2.3,6,3,2,6,7,0,100,2,3,1,1
Leopold Querfeld,at AUT,DF,Union Berlin,de Bundesliga,,2003,,,,,,,,,,,,,,,,,,,7.8,3,13,8,46,51,5,57.1,0,5,2,26
Levi Colwill,eng ENG,DF,Chelsea,eng Premier League,,2003,,,,,,,,,,,,,,,,,,,21,13,24,24,67,2,0,58.3,9,6,3,43
Lewis Dunk,eng ENG,DF,Brighton,eng Premier League,,1991,,,,,,,,,,,,,,,,,,,16.4,6,20,10,56,1,1,54.5,2,1,0,38
Lewis Hall,eng ENG,DF,Newcastle Utd,eng Premier League,,2004,,,,,,,,,,,,,,,,,,,20.4,27,26,16,66,6,1,45.3,95,16,8,29
Lilian Brassier,fr FRA,DF,Marseille,fr Ligue 1,,1999,,,,,,,,,,,,,,,,,,,8.7,6,8,9,28,1,0,83.3,5,9,1,17
Lisandro Martínez,ar ARG,DF,Manchester Utd,eng Premier League,,1998,,,,,,,,,,,,,,,,,,,18.6,22,21,31,54,1,0,58.8,9,6,5,14
Lloyd Kelly,eng ENG,DF,Newcastle Utd,eng Premier League,,1998,,,,,,,,,,,,,,,,,,,3.3,4,6,1,17,0,0,100,1,3,2,6
Logan Costa,cv CPV,DF,Villarreal,es La Liga,,2001,,,,,,,,,,,,,,,,,,,14.7,11,14,9,51,2,0,85.7,1,1,0,24
Logan Costa,cv CPV,DF,Toulouse,fr Ligue 1,,2001,,,,,,,,,,,,,,,,,,,1,1,2,2,4,3,0,100,1,0,0,4
Loïc Bade,fr FRA,DF,Sevilla,es La Liga,,2000,,,,,,,,,,,,,,,,,,,16.2,19,13,17,67,2,0,75,3,13,9,35
Loïc N'Gatta,fr FRA,DF,Auxerre,fr Ligue 1,,2003,,,,,,,,,,,,,,,,,,,0.1,1,1,0,0,3,0,50,1,0,0,0
Lorenz Assignon,tg TOG,DF,Rennes,fr Ligue 1,,2000,,,,,,,,,,,,,,,,,,,12.5,11,13,14,44,1,0,37.5,27,41,15,18
Lorenzo Aguado,es ESP,DF,Real Madrid,es La Liga,,2002,,,,,,,,,,,,,,,,,,,0.1,0,0,0,2,10,0,,0,0,0,0
Lorenzo De Silvestri,it ITA,DF,Bologna,it Serie A,,1988,,,,,,,,,,,,,,,,,,,6,4,6,4,17,2,0,36.4,10,3,1,6
Luc Zogbé,ci CIV,DF,Brest,fr Ligue 1,,2005,,,,,,,,,,,,,,,,,,,5.4,16,6,10,15,2,1,66.7,12,13,3,11
Luca Caldirola,it ITA,DF,Monza,it Serie A,,1991,,,,,,,,,,,,,,,,,,,5.4,3,6,4,22,3,0,40,1,1,1,9
Luca Netz,de GER,DF,Gladbach,de Bundesliga,,2003,,,,,,,,,,,,,,,,,,,7.5,9,13,9,17,4,0,57.1,13,17,5,7
Luca Pellegrini,it ITA,DF,Lazio,it Serie A,,1999,,,,,,,,,,,,,,,,,,,6.1,7,7,12,15,26,1,57.1,41,16,7,5
Luca Ranieri,it ITA,DF,Fiorentina,it Serie A,,1999,,,,,,,,,,,,,,,,,,,19.3,10,26,14,83,3,0,69.2,3,11,6,30
Lucas Beraldo,br BRA,DF,Paris S-G,fr Ligue 1,,2003,,,,,,,,,,,,,,,,,,,12.1,18,7,13,25,1,0,54.2,2,0,0,17
Lucas Digne,fr FRA,DF,Aston Villa,eng Premier League,,1993,,,,,,,,,,,,,,,,,,,19.2,28,18,25,62,1,4,68.1,116,15,8,28
Lucas Hernández,fr FRA,DF,Paris S-G,fr Ligue 1,,1996,,,,,,,,,,,,,,,,,,,2.6,5,2,1,9,33,2,57.1,0,0,0,5
Lucas Martínez Quarta,ar ARG,DF,Fiorentina,it Serie A,,1996,,,,,,,,,,,,,,,,,,,3.9,7,5,3,25,9,1,61.5,0,2,2,12
Lucas Mincarelli,fr FRA,DF,Montpellier,fr Ligue 1,,2004,,,,,,,,,,,,,,,,,,,2.8,4,1,1,8,1,0,20,12,2,0,3
Lucas Oliveira Rosa,br BRA,DF,Valladolid,es La Liga,,2000,,,,,,,,,,,,,,,,,,,20,33,21,28,63,1,0,70,35,28,13,18
Lucas Vázquez,es ESP,DF,Real Madrid,es La Liga,,1991,,,,,,,,,,,,,,,,,,,11.7,19,8,7,15,22,3,48.3,34,18,11,2
Luis Pérez,es ESP,DF,Valladolid,es La Liga,,1995,,,,,,,,,,,,,,,,,,,19.6,22,19,22,58,2,2,67.7,73,9,3,10
Lukas Klostermann,de GER,DF,RB Leipzig,de Bundesliga,,1996,,,,,,,,,,,,,,,,,,,11.9,10,22,21,73,4,1,50,7,4,3,12
Lukas Kübler,de GER,DF,Freiburg,de Bundesliga,,1992,,,,,,,,,,,,,,,,,,,16.6,17,27,45,40,21,3,54.8,20,7,0,27
Lukas Ullrich,de GER,DF,Gladbach,de Bundesliga,,2004,,,,,,,,,,,,,,,,,,,9.1,3,16,9,33,19,0,33.3,24,14,6,8
Luke Shaw,eng ENG,DF,Manchester Utd,eng Premier League,,1995,,,,,,,,,,,,,,,,,,,0.8,2,1,1,1,14,0,100,0,0,0,0
Luke Thomas,eng ENG,DF,Leicester City,eng Premier League,,2001,,,,,,,,,,,,,,,,,,,2,5,4,2,3,4,2,60,3,0,0,2
Luke Woolfenden,eng ENG,DF,Ipswich Town,eng Premier League,,1998,,,,,,,,,,,,,,,,,,,8.2,2,14,16,40,14,0,25,0,0,0,9
